brand,Name,Price
MILKA,CHOCOLATINA LECHE MILKA 55G,$ 5.450
TRADICIÓN 1915,POSTRE TRES LECHES 86 G,$ 3.990
LATTI,DULCE DE LECHE LATTI 250 GRS,$ 3.750
LATTI,LECHE EQUILIBRIO TETRAPAK UHTLATTI 900ML,$ 2.990
RODEO,LECHE POLVO RODEO 187 GR,$ 6.990
LATTI,LECHE CHOCOLATE LATTI BOLSA X200ML,$ 1.300
TRADICIÓN 1915,ALFAJOR PREMIUM CHOCOLATE LECHE O BLANCO,$ 2.700
TRADICIÓN 1915,LECHE ASADA TRADICIÓN 1915 120 G,$ 3.490
LATTI,LECHE CONDENSADA EN DOYPACK LATTI 300 G,$ 4.490
LATTI,LECHE EN POLVO AZUCARADA LATTI X 350GR,$ 8.490
LATTI,LECHE EN POLVO DESCREMADA LATTI X 350GR,$ 9.400
LATTI,LECHE EN POLVO ENTERA LATTI 1000 G,$ 20.990
LATTI,LECHE EN POLVO ENTERA LATTI 350 G,$ 8.990
LATTI,LECHE ENTERA TETRA PAK LATTI 200ML,$ 1.200
ALPIN,LECHE SABORIZADA ALPIN PACK X3 185ML,$ 8.490
LATTI,FLAN DE LECHE CON CARAMELO LATTI 150 G,$ 3.990
HORNEADITOS,PAN LECHE HORNEADITOS 10 UND 440 GRS,$ 3.900
LATTI,CREMA DE LECHE LARGA VIDA LATTI 200 ML,$ 2.190
LATTI,LECHE DESLACTOSADA TETRAPAK UHT LATTI 900 ML,$ 3.490
LATTI,LECHE ENTERA TETRAPAK UHT LATTI 900 ML,$ 3.190
LATTI,LECHE DESLACTOSADA DESCREMADA LARGA VIDA EN TETRA PAK LATTI 900 ML,$ 3.700
LATTI,LECHES SABORIZADAS CHOCOLATE LARGA VIDA EN TETRA PAK LATTI 3 UN 600 ML,$ 4.650
EL RODEO,ALIMENTO LÁCTEO EN POLVO EL RODEO NUTRI-RINDE 270 G,$ 8.600
